"Име на български език","Показател","Мерна единица","Дата","средноденонощна  стойност"
"София - Хиподрума","PM2.5","ug/m3","05.03.2011","60.83280563354492"
"София - Хиподрума","PM2.5","ug/m3","06.03.2011","36.21096801757812"
"София - Хиподрума","PM2.5","ug/m3","07.03.2011","17.5107593536377"
"София - Хиподрума","PM2.5","ug/m3","08.03.2011","16.25048446655273"
"София - Хиподрума","PM2.5","ug/m3","09.03.2011","52.84468841552734"
"София - Хиподрума","PM2.5","ug/m3","10.03.2011","47.06480026245117"
"София - Хиподрума","PM2.5","ug/m3","11.03.2011","37.82946395874023"
"София - Хиподрума","PM2.5","ug/m3","12.03.2011","63.39117813110352"
"София - Хиподрума","PM2.5","ug/m3","13.03.2011","55.57151412963867"
"София - Хиподрума","PM2.5","ug/m3","14.03.2011","48.69721221923828"
"София - Хиподрума","PM2.5","ug/m3","15.03.2011","66.84194946289062"
"София - Хиподрума","PM2.5","ug/m3","16.03.2011","46.32235336303711"
"София - Хиподрума","PM2.5","ug/m3","17.03.2011","30.3553638458252"
"София - Хиподрума","PM2.5","ug/m3","18.03.2011","35.13015365600586"
"София - Хиподрума","PM2.5","ug/m3","19.03.2011","17.93924331665039"
"София - Хиподрума","PM2.5","ug/m3","20.03.2011","9.840094566345215"
"София - Хиподрума","PM2.5","ug/m3","21.03.2011","17.10734748840332"
"София - Хиподрума","PM2.5","ug/m3","22.03.2011","18.94017219543457"
"София - Хиподрума","PM2.5","ug/m3","23.03.2011","0"
"София - Хиподрума","PM2.5","ug/m3","28.03.2011","0"
"София - Хиподрума","PM2.5","ug/m3","29.03.2011","36.22027206420898"
"София - Хиподрума","PM2.5","ug/m3","30.03.2011","17.17669296264648"
"София - Хиподрума","PM2.5","ug/m3","31.03.2011","19.71072196960449"
"София - Хиподрума","PM2.5","ug/m3","01.04.2011","22.5215950012207"
"София - Хиподрума","PM2.5","ug/m3","02.04.2011","30.97321319580078"
"София - Хиподрума","PM2.5","ug/m3","03.04.2011","22.79727935791016"
"София - Хиподрума","PM2.5","ug/m3","04.04.2011","31.9172248840332"
"София - Хиподрума","PM2.5","ug/m3","05.04.2011","31.15677833557129"
"София - Хиподрума","PM2.5","ug/m3","06.04.2011","18.85251045227051"
"София - Хиподрума","PM2.5","ug/m3","07.04.2011","17.24694442749023"
"София - Хиподрума","PM2.5","ug/m3","08.04.2011","12.06224727630615"
"София - Хиподрума","PM2.5","ug/m3","09.04.2011","8.369614601135254"
"София - Хиподрума","PM2.5","ug/m3","10.04.2011","9.245643615722656"
"София - Хиподрума","PM2.5","ug/m3","11.04.2011","7.23405933380127"
"София - Хиподрума","PM2.5","ug/m3","12.04.2011","11.80449199676514"
"София - Хиподрума","PM2.5","ug/m3","13.04.2011","12.58886241912842"
"София - Хиподрума","PM2.5","ug/m3","14.04.2011","9.23365592956543"
"София - Хиподрума","PM2.5","ug/m3","15.04.2011","10.65932178497314"
"София - Хиподрума","PM2.5","ug/m3","16.04.2011","23.51654434204102"
"София - Хиподрума","PM2.5","ug/m3","17.04.2011","16.04584312438965"
"София - Хиподрума","PM2.5","ug/m3","18.04.2011","17.05093193054199"
"София - Хиподрума","PM2.5","ug/m3","19.04.2011","26.6417236328125"
"София - Хиподрума","PM2.5","ug/m3","20.04.2011","24.92216110229492"
"София - Хиподрума","PM2.5","ug/m3","21.04.2011","16.7984561920166"
"София - Хиподрума","PM2.5","ug/m3","22.04.2011","16.63762664794922"
"София - Хиподрума","PM2.5","ug/m3","23.04.2011","15.41575622558594"
"София - Хиподрума","PM2.5","ug/m3","24.04.2011","16.69721412658691"
"София - Хиподрума","PM2.5","ug/m3","25.04.2011","13.44047164916992"
"София - Хиподрума","PM2.5","ug/m3","26.04.2011","14.46299171447754"
"София - Хиподрума","PM2.5","ug/m3","27.04.2011","13.48759460449219"
"София - Хиподрума","PM2.5","ug/m3","28.04.2011","9.627237319946289"
"София - Хиподрума","PM2.5","ug/m3","29.04.2011","8.13572883605957"
"София - Хиподрума","PM2.5","ug/m3","30.04.2011","12.03073883056641"
"София - Хиподрума","PM2.5","ug/m3","01.05.2011","18.63372230529785"
"София - Хиподрума","PM2.5","ug/m3","02.05.2011","18.3393383026123"
"София - Хиподрума","PM2.5","ug/m3","03.05.2011","21.32747077941895"
"София - Хиподрума","PM2.5","ug/m3","04.05.2011","14.93709278106689"
"София - Хиподрума","PM2.5","ug/m3","05.05.2011","18.24349975585938"
"София - Хиподрума","PM2.5","ug/m3","06.05.2011","12.25741100311279"
"София - Хиподрума","PM2.5","ug/m3","07.05.2011","15.10205936431885"
"София - Хиподрума","PM2.5","ug/m3","08.05.2011","11.66353702545166"
"София - Хиподрума","PM2.5","ug/m3","09.05.2011","8.059876441955566"
"София - Хиподрума","PM2.5","ug/m3","10.05.2011","12.85268592834473"
"София - Хиподрума","PM2.5","ug/m3","11.05.2011","12.28853130340576"
"София - Хиподрума","PM2.5","ug/m3","12.05.2011","10.42158031463623"
"София - Хиподрума","PM2.5","ug/m3","13.05.2011","15.16549777984619"
"София - Хиподрума","PM2.5","ug/m3","14.05.2011","15.49277496337891"
"София - Хиподрума","PM2.5","ug/m3","15.05.2011","22.06202507019043"
"София - Хиподрума","PM2.5","ug/m3","16.05.2011","22.27306747436523"
"София - Хиподрума","PM2.5","ug/m3","17.05.2011","14.47865676879883"
"София - Хиподрума","PM2.5","ug/m3","18.05.2011","13.68031787872314"
"София - Хиподрума","PM2.5","ug/m3","19.05.2011","17.11675071716309"
"София - Хиподрума","PM2.5","ug/m3","20.05.2011","16.91426849365234"
"София - Хиподрума","PM2.5","ug/m3","21.05.2011","17.77823829650879"
"София - Хиподрума","PM2.5","ug/m3","22.05.2011","17.94854354858398"
"София - Хиподрума","PM2.5","ug/m3","23.05.2011","20.60615921020508"
"София - Хиподрума","PM2.5","ug/m3","24.05.2011","17.56668663024902"
"София - Хиподрума","PM2.5","ug/m3","25.05.2011","16.5876636505127"
"София - Хиподрума","PM2.5","ug/m3","26.05.2011","15.86192321777344"
"София - Хиподрума","PM2.5","ug/m3","27.05.2011","16.41495323181152"
"София - Хиподрума","PM2.5","ug/m3","28.05.2011","18.98999786376953"
"София - Хиподрума","PM2.5","ug/m3","29.05.2011","21.79656028747559"
"София - Хиподрума","PM2.5","ug/m3","30.05.2011","18.1404914855957"
"София - Хиподрума","PM2.5","ug/m3","31.05.2011","12.45091438293457"
"София - Хиподрума","PM2.5","ug/m3","01.06.2011","12.37760829925537"
"София - Хиподрума","PM2.5","ug/m3","02.06.2011","12.79160022735596"
"София - Хиподрума","PM2.5","ug/m3","03.06.2011","12.57178211212158"
"София - Хиподрума","PM2.5","ug/m3","04.06.2011","11.39839172363281"
"София - Хиподрума","PM2.5","ug/m3","05.06.2011","15.07748126983643"
"София - Хиподрума","PM2.5","ug/m3","06.06.2011","17.28313255310059"
"София - Хиподрума","PM2.5","ug/m3","07.06.2011","19.80718421936035"
"София - Хиподрума","PM2.5","ug/m3","08.06.2011","19.73394966125488"
"София - Хиподрума","PM2.5","ug/m3","09.06.2011","8.731544494628906"
"София - Хиподрума","PM2.5","ug/m3","10.06.2011","9.202323913574219"
"София - Хиподрума","PM2.5","ug/m3","11.06.2011","13.33914279937744"
"София - Хиподрума","PM2.5","ug/m3","12.06.2011","15.52481269836426"
"София - Хиподрума","PM2.5","ug/m3","13.06.2011","14.49739837646484"
"София - Хиподрума","PM2.5","ug/m3","14.06.2011","11.7305850982666"
"София - Хиподрума","PM2.5","ug/m3","15.06.2011","14.72177219390869"
"София - Хиподрума","PM2.5","ug/m3","16.06.2011","12.74951648712158"
"София - Хиподрума","PM2.5","ug/m3","17.06.2011","15.54550266265869"
"София - Хиподрума","PM2.5","ug/m3","18.06.2011","19.05548858642578"
"София - Хиподрума","PM2.5","ug/m3","19.06.2011","19.95440101623535"
"София - Хиподрума","PM2.5","ug/m3","20.06.2011","8.808849334716797"
"София - Хиподрума","PM2.5","ug/m3","21.06.2011","7.243821620941162"
"София - Хиподрума","PM2.5","ug/m3","22.06.2011","10.57229328155518"
"София - Хиподрума","PM2.5","ug/m3","23.06.2011","14.5097599029541"
"София - Хиподрума","PM2.5","ug/m3","24.06.2011","18.17362594604492"
"София - Хиподрума","PM2.5","ug/m3","25.06.2011","11.82765483856201"
"София - Хиподрума","PM2.5","ug/m3","26.06.2011","5.831098556518555"
"София - Хиподрума","PM2.5","ug/m3","27.06.2011","7.782778263092041"
"София - Хиподрума","PM2.5","ug/m3","28.06.2011","9.583670616149902"
"София - Хиподрума","PM2.5","ug/m3","29.06.2011","8.089120864868164"
"София - Хиподрума","PM2.5","ug/m3","30.06.2011","11.80430316925049"
"София - Хиподрума","PM2.5","ug/m3","01.07.2011","11.13222122192383"
"София - Хиподрума","PM2.5","ug/m3","02.07.2011","9.107093811035156"
"София - Хиподрума","PM2.5","ug/m3","03.07.2011","8.79047966003418"
"София - Хиподрума","PM2.5","ug/m3","04.07.2011","0"
"София - Хиподрума","PM2.5","ug/m3","07.07.2011","0"
"София - Хиподрума","PM2.5","ug/m3","08.07.2011","17.91014671325684"
"София - Хиподрума","PM2.5","ug/m3","09.07.2011","22.36206817626953"
"София - Хиподрума","PM2.5","ug/m3","10.07.2011","0"
"София - Хиподрума","PM2.5","ug/m3","11.07.2011","0"
"София - Хиподрума","PM2.5","ug/m3","12.07.2011","15.68564128875732"
"София - Хиподрума","PM2.5","ug/m3","13.07.2011","15.63220882415771"
"София - Хиподрума","PM2.5","ug/m3","14.07.2011","0"
"София - Хиподрума","PM2.5","ug/m3","18.07.2011","0"
"София - Хиподрума","PM2.5","ug/m3","19.07.2011","0"
"София - Хиподрума","PM2.5","ug/m3","20.07.2011","0"
"София - Хиподрума","PM2.5","ug/m3","21.07.2011","28.12276649475098"
"София - Хиподрума","PM2.5","ug/m3","22.07.2011","8.977598190307617"
"София - Хиподрума","PM2.5","ug/m3","23.07.2011","11.06853199005127"
"София - Хиподрума","PM2.5","ug/m3","24.07.2011","7.597620487213135"
"София - Хиподрума","PM2.5","ug/m3","25.07.2011","17.73555564880371"
"София - Хиподрума","PM2.5","ug/m3","26.07.2011","10.69927024841309"
"София - Хиподрума","PM2.5","ug/m3","27.07.2011","9.131104469299316"
"София - Хиподрума","PM2.5","ug/m3","28.07.2011","18.03489875793457"
"София - Хиподрума","PM2.5","ug/m3","29.07.2011","19.92886734008789"
"София - Хиподрума","PM2.5","ug/m3","30.07.2011","7.771567821502686"
"София - Хиподрума","PM2.5","ug/m3","31.07.2011","9.269796371459961"
"София - Хиподрума","PM2.5","ug/m3","01.08.2011","11.59907150268555"
"София - Хиподрума","PM2.5","ug/m3","02.08.2011","11.05272483825684"
"София - Хиподрума","PM2.5","ug/m3","03.08.2011","13.64998912811279"
"София - Хиподрума","PM2.5","ug/m3","04.08.2011","15.82330703735352"
"София - Хиподрума","PM2.5","ug/m3","05.08.2011","15.28749752044678"
"София - Хиподрума","PM2.5","ug/m3","06.08.2011","22.17196846008301"
"София - Хиподрума","PM2.5","ug/m3","07.08.2011","16.17657661437988"
"София - Хиподрума","PM2.5","ug/m3","08.08.2011","18.80834197998047"
"София - Хиподрума","PM2.5","ug/m3","09.08.2011","17.8285961151123"
"София - Хиподрума","PM2.5","ug/m3","10.08.2011","0"
"София - Хиподрума","PM2.5","ug/m3","12.08.2011","0"
"София - Хиподрума","PM2.5","ug/m3","13.08.2011","15.52272701263428"
"София - Хиподрума","PM2.5","ug/m3","14.08.2011","14.68418216705322"
"София - Хиподрума","PM2.5","ug/m3","15.08.2011","19.06015586853027"
"София - Хиподрума","PM2.5","ug/m3","16.08.2011","21.91526985168457"
"София - Хиподрума","PM2.5","ug/m3","17.08.2011","15.48043441772461"
"София - Хиподрума","PM2.5","ug/m3","18.08.2011","16.77861785888672"
"София - Хиподрума","PM2.5","ug/m3","19.08.2011","20.58529663085938"
"София - Хиподрума","PM2.5","ug/m3","20.08.2011","16.21954154968262"
"София - Хиподрума","PM2.5","ug/m3","21.08.2011","11.89742374420166"
"София - Хиподрума","PM2.5","ug/m3","22.08.2011","19.39836311340332"
"София - Хиподрума","PM2.5","ug/m3","23.08.2011","17.99487113952637"
"София - Хиподрума","PM2.5","ug/m3","24.08.2011","19.79763603210449"
"София - Хиподрума","PM2.5","ug/m3","25.08.2011","15.22837162017822"
"София - Хиподрума","PM2.5","ug/m3","26.08.2011","13.25975131988525"
"София - Хиподрума","PM2.5","ug/m3","27.08.2011","11.39676475524902"
"София - Хиподрума","PM2.5","ug/m3","28.08.2011","7.072173118591309"
"София - Хиподрума","PM2.5","ug/m3","29.08.2011","6.364291191101074"
"София - Хиподрума","PM2.5","ug/m3","30.08.2011","7.812199592590332"
"София - Хиподрума","PM2.5","ug/m3","31.08.2011","12.94577312469482"
"София - Хиподрума","PM2.5","ug/m3","01.09.2011","18.57700157165527"
"София - Хиподрума","PM2.5","ug/m3","02.09.2011","18.64677238464355"
"София - Хиподрума","PM2.5","ug/m3","03.09.2011","13.50357723236084"
"София - Хиподрума","PM2.5","ug/m3","04.09.2011","13.76363086700439"
"София - Хиподрума","PM2.5","ug/m3","05.09.2011","13.46626949310303"
"София - Хиподрума","PM2.5","ug/m3","06.09.2011","15.68620777130127"
"София - Хиподрума","PM2.5","ug/m3","07.09.2011","14.84066009521484"
"София - Хиподрума","PM2.5","ug/m3","08.09.2011","13.7597074508667"
"София - Хиподрума","PM2.5","ug/m3","09.09.2011","9.407957077026367"
"София - Хиподрума","PM2.5","ug/m3","10.09.2011","8.273251533508301"
"София - Хиподрума","PM2.5","ug/m3","11.09.2011","7.03804874420166"
"София - Хиподрума","PM2.5","ug/m3","12.09.2011","12.08897972106934"
"София - Хиподрума","PM2.5","ug/m3","13.09.2011","13.42953014373779"
"София - Хиподрума","PM2.5","ug/m3","14.09.2011","12.11288452148438"
"София - Хиподрума","PM2.5","ug/m3","15.09.2011","14.99727153778076"
"София - Хиподрума","PM2.5","ug/m3","16.09.2011","16.52156829833984"
"София - Хиподрума","PM2.5","ug/m3","17.09.2011","17.1921443939209"
"София - Хиподрума","PM2.5","ug/m3","18.09.2011","14.42992782592773"
"София - Хиподрума","PM2.5","ug/m3","19.09.2011","9.287867546081543"
"София - Хиподрума","PM2.5","ug/m3","20.09.2011","8.733209609985352"
"София - Хиподрума","PM2.5","ug/m3","21.09.2011","11.30277156829834"
"София - Хиподрума","PM2.5","ug/m3","22.09.2011","8.911993980407715"
"София - Хиподрума","PM2.5","ug/m3","23.09.2011","13.31219577789307"
"София - Хиподрума","PM2.5","ug/m3","24.09.2011","11.45398139953613"
"София - Хиподрума","PM2.5","ug/m3","25.09.2011","10.99773788452148"
"София - Хиподрума","PM2.5","ug/m3","26.09.2011","12.88378238677979"
"София - Хиподрума","PM2.5","ug/m3","27.09.2011","12.52715587615967"
"София - Хиподрума","PM2.5","ug/m3","28.09.2011","20.56315994262695"
"София - Хиподрума","PM2.5","ug/m3","29.09.2011","25.94316101074219"
"София - Хиподрума","PM2.5","ug/m3","30.09.2011","19.38662147521973"
"София - Хиподрума","PM2.5","ug/m3","01.10.2011","22.95989799499512"
"София - Хиподрума","PM2.5","ug/m3","02.10.2011","15.43269538879395"
"София - Хиподрума","PM2.5","ug/m3","03.10.2011","20.83714485168457"
"София - Хиподрума","PM2.5","ug/m3","04.10.2011","26.63461494445801"
"София - Хиподрума","PM2.5","ug/m3","05.10.2011","29.6637134552002"
"София - Хиподрума","PM2.5","ug/m3","06.10.2011","36.37865447998047"
"София - Хиподрума","PM2.5","ug/m3","07.10.2011","33.69731140136719"
"София - Хиподрума","PM2.5","ug/m3","08.10.2011","18.45499229431152"
"София - Хиподрума","PM2.5","ug/m3","09.10.2011","6.664339542388916"
"София - Хиподрума","PM2.5","ug/m3","10.10.2011","8.991070747375488"
"София - Хиподрума","PM2.5","ug/m3","11.10.2011","13.9166088104248"
"София - Хиподрума","PM2.5","ug/m3","12.10.2011","15.81552982330322"
"София - Хиподрума","PM2.5","ug/m3","13.10.2011","20.67013168334961"
"София - Хиподрума","PM2.5","ug/m3","14.10.2011","13.80652809143066"
"София - Хиподрума","PM2.5","ug/m3","15.10.2011","18.15229797363281"
"София - Хиподрума","PM2.5","ug/m3","16.10.2011","10.72558975219727"
"София - Хиподрума","PM2.5","ug/m3","17.10.2011","11.38675880432129"
"София - Хиподрума","PM2.5","ug/m3","18.10.2011","21.95583343505859"
"София - Хиподрума","PM2.5","ug/m3","19.10.2011","41.15744400024414"
"София - Хиподрума","PM2.5","ug/m3","20.10.2011","58.34899139404297"
"София - Хиподрума","PM2.5","ug/m3","21.10.2011","54.38626098632812"
"София - Хиподрума","PM2.5","ug/m3","22.10.2011","43.11357116699219"
"София - Хиподрума","PM2.5","ug/m3","23.10.2011","24.00832939147949"
"София - Хиподрума","PM2.5","ug/m3","24.10.2011","22.9318675994873"
"София - Хиподрума","PM2.5","ug/m3","25.10.2011","22.70077514648438"
"София - Хиподрума","PM2.5","ug/m3","26.10.2011","23.24807548522949"
"София - Хиподрума","PM2.5","ug/m3","27.10.2011","16.43181800842285"
"София - Хиподрума","PM2.5","ug/m3","28.10.2011","24.32369041442871"
"София - Хиподрума","PM2.5","ug/m3","29.10.2011","34.1977424621582"
"София - Хиподрума","PM2.5","ug/m3","30.10.2011","49.35017776489258"
"София - Хиподрума","PM2.5","ug/m3","31.10.2011","65.04061889648438"
"София - Хиподрума","PM2.5","ug/m3","01.11.2011","81.04550933837891"
"София - Хиподрума","PM2.5","ug/m3","02.11.2011","65.47106170654297"
"София - Хиподрума","PM2.5","ug/m3","03.11.2011","59.47150039672852"
"София - Хиподрума","PM2.5","ug/m3","04.11.2011","63.11206436157227"
"София - Хиподрума","PM2.5","ug/m3","05.11.2011","96.56546783447266"
"София - Хиподрума","PM2.5","ug/m3","06.11.2011","58.97407913208008"
"София - Хиподрума","PM2.5","ug/m3","07.11.2011","27.71185684204102"
"София - Хиподрума","PM2.5","ug/m3","08.11.2011","44.94880294799805"
"София - Хиподрума","PM2.5","ug/m3","09.11.2011","72.82369995117188"
"София - Хиподрума","PM2.5","ug/m3","10.11.2011","47.79703140258789"
"София - Хиподрума","PM2.5","ug/m3","11.11.2011","15.37965297698975"
"София - Хиподрума","PM2.5","ug/m3","12.11.2011","17.4723014831543"
"София - Хиподрума","PM2.5","ug/m3","13.11.2011","31.12601470947266"
"София - Хиподрума","PM2.5","ug/m3","14.11.2011","40.90735626220703"
"София - Хиподрума","PM2.5","ug/m3","15.11.2011","82.40237426757812"
"София - Хиподрума","PM2.5","ug/m3","16.11.2011","94.15336608886719"
"София - Хиподрума","PM2.5","ug/m3","17.11.2011","117.2801818847656"
"София - Хиподрума","PM2.5","ug/m3","18.11.2011","106.1795501708984"
"София - Хиподрума","PM2.5","ug/m3","19.11.2011","102.2873764038086"
"София - Хиподрума","PM2.5","ug/m3","20.11.2011","127.995231628418"
"София - Хиподрума","PM2.5","ug/m3","21.11.2011","140.9123992919922"
"София - Хиподрума","PM2.5","ug/m3","22.11.2011","193.4839019775391"
"София - Хиподрума","PM2.5","ug/m3","23.11.2011","198.9654998779297"
"София - Хиподрума","PM2.5","ug/m3","24.11.2011","59.51780319213867"
"София - Хиподрума","PM2.5","ug/m3","25.11.2011","55.24600982666016"
"София - Хиподрума","PM2.5","ug/m3","26.11.2011","44.78419876098633"
"София - Хиподрума","PM2.5","ug/m3","27.11.2011","46.42339324951172"
"София - Хиподрума","PM2.5","ug/m3","28.11.2011","79.82968902587891"
"София - Хиподрума","PM2.5","ug/m3","29.11.2011","65.89474487304688"
"София - Хиподрума","PM2.5","ug/m3","30.11.2011","184.5258483886719"
"София - Хиподрума","PM2.5","ug/m3","01.12.2011","172.49609375"
"София - Хиподрума","PM2.5","ug/m3","02.12.2011","169.7712097167969"
"София - Хиподрума","PM2.5","ug/m3","03.12.2011","260.4830932617188"
"София - Хиподрума","PM2.5","ug/m3","04.12.2011","210.2037811279297"
"София - Хиподрума","PM2.5","ug/m3","05.12.2011","37.97533416748047"
"София - Хиподрума","PM2.5","ug/m3","06.12.2011","17.03675651550293"
"София - Хиподрума","PM2.5","ug/m3","07.12.2011","23.19931411743164"
"София - Хиподрума","PM2.5","ug/m3","08.12.2011","32.21948623657227"
"София - Хиподрума","PM2.5","ug/m3","09.12.2011","59.05473327636719"
"София - Хиподрума","PM2.5","ug/m3","10.12.2011","167.3592376708984"
"София - Хиподрума","PM2.5","ug/m3","11.12.2011","253.1422424316406"
"София - Хиподрума","PM2.5","ug/m3","12.12.2011","187.2140808105469"
"София - Хиподрума","PM2.5","ug/m3","13.12.2011","75.17101287841797"
"София - Хиподрума","PM2.5","ug/m3","14.12.2011","53.66667556762695"
"София - Хиподрума","PM2.5","ug/m3","15.12.2011","46.94674682617188"
"София - Хиподрума","PM2.5","ug/m3","16.12.2011","19.35709381103516"
"София - Хиподрума","PM2.5","ug/m3","17.12.2011","10.68319129943848"
"София - Хиподрума","PM2.5","ug/m3","18.12.2011","14.86806869506836"
"София - Хиподрума","PM2.5","ug/m3","19.12.2011","24.23086547851562"
"София - Хиподрума","PM2.5","ug/m3","20.12.2011","32.53643035888672"
"София - Хиподрума","PM2.5","ug/m3","21.12.2011","21.16301155090332"
"София - Хиподрума","PM2.5","ug/m3","22.12.2011","21.06728553771973"
"София - Хиподрума","PM2.5","ug/m3","23.12.2011","25.2025146484375"
"София - Хиподрума","PM2.5","ug/m3","24.12.2011","45.49949645996094"
"София - Хиподрума","PM2.5","ug/m3","25.12.2011","97.79292297363281"
"София - Хиподрума","PM2.5","ug/m3","26.12.2011","36.97139739990234"
"София - Хиподрума","PM2.5","ug/m3","27.12.2011","30.38938140869141"
"София - Хиподрума","PM2.5","ug/m3","28.12.2011","36.89558029174805"
"София - Хиподрума","PM2.5","ug/m3","29.12.2011","105.7834243774414"
"София - Хиподрума","PM2.5","ug/m3","30.12.2011","124.1557846069336"
"София - Хиподрума","PM2.5","ug/m3","31.12.2011","91.02887725830078"
"София - Хиподрума","PM2.5","ug/m3","01.01.2012","35.60934448242188"
"София - Хиподрума","PM2.5","ug/m3","02.01.2012","126.2113265991211"
"София - Хиподрума","PM2.5","ug/m3","03.01.2012","283.9571838378906"
"София - Хиподрума","PM2.5","ug/m3","04.01.2012","357.9833984375"
"София - Хиподрума","PM2.5","ug/m3","05.01.2012","200.6612091064453"
"София - Хиподрума","PM2.5","ug/m3","06.01.2012","24.84323310852051"
"София - Хиподрума","PM2.5","ug/m3","07.01.2012","12.56343746185303"
"София - Хиподрума","PM2.5","ug/m3","08.01.2012","19.21260643005371"
"София - Хиподрума","PM2.5","ug/m3","09.01.2012","18.09733963012695"
"София - Хиподрума","PM2.5","ug/m3","10.01.2012","16.2681999206543"
"София - Хиподрума","PM2.5","ug/m3","11.01.2012","21.39349937438965"
"София - Хиподрума","PM2.5","ug/m3","12.01.2012","22.13565063476562"
"София - Хиподрума","PM2.5","ug/m3","13.01.2012","30.65548324584961"
"София - Хиподрума","PM2.5","ug/m3","14.01.2012","9.372382164001465"
"София - Хиподрума","PM2.5","ug/m3","15.01.2012","9.504388809204102"
